,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,right face
23,happiness,07F_HA_C100.jpg,0,100,03F_HA_C100.jpg,f,left,01F_FE_C100.jpg
24,fear,01F_FE_C100.jpg,0,100,08F_HA_C100.jpg,f,right,04F_FE_C100.jpg
25,fear,07F_FE_C100.jpg,0,100,03F_HA_C100.jpg,f,right,02F_FE_C100.jpg
26,fear,04F_FE_C100.jpg,0,100,01F_FE_C100.jpg,f,left,02F_HA_C100.jpg
27,fear,02F_FE_C100.jpg,0,100,04F_HA_C100.jpg,f,right,05F_FE_C100.jpg
28,fear,06F_FE_C100.jpg,0,100,03F_FE_C100.jpg,f,left,07F_HA_C100.jpg
29,fear,03F_FE_C100.jpg,0,100,08F_FE_C100.jpg,f,left,05F_HA_C100.jpg
30,fear,08F_FE_C100.jpg,0,100,06F_FE_C100.jpg,f,left,01F_HA_C100.jpg
31,fear,05F_FE_C100.jpg,0,100,06F_HA_C100.jpg,f,right,07F_FE_C100.jpg
32,happiness,26M_HA_C100.jpg,0,40,23M_FE_C040.jpg,m,right,24M_HA_C040.jpg
33,happiness,21M_HA_C100.jpg,0,40,24M_FE_C040.jpg,m,right,23M_HA_C040.jpg
34,happiness,23M_HA_C100.jpg,0,40,27M_FE_C040.jpg,m,right,28M_HA_C040.jpg
35,happiness,27M_HA_C100.jpg,0,40,21M_HA_C040.jpg,m,left,25M_FE_C040.jpg
36,happiness,22M_HA_C100.jpg,0,40,27M_HA_C040.jpg,m,left,28M_FE_C040.jpg
37,happiness,28M_HA_C100.jpg,0,40,25M_HA_C040.jpg,m,left,21M_FE_C040.jpg
38,happiness,24M_HA_C100.jpg,0,40,26M_HA_C040.jpg,m,left,22M_FE_C040.jpg
39,happiness,25M_HA_C100.jpg,0,40,26M_FE_C040.jpg,m,right,22M_HA_C040.jpg
40,fear,21M_FE_C100.jpg,0,40,28M_HA_C040.jpg,m,right,27M_FE_C040.jpg
41,fear,22M_FE_C100.jpg,0,40,25M_HA_C040.jpg,m,right,26M_FE_C040.jpg
42,fear,24M_FE_C100.jpg,0,40,21M_FE_C040.jpg,m,left,23M_HA_C040.jpg
43,fear,23M_FE_C100.jpg,0,40,24M_HA_C040.jpg,m,right,25M_FE_C040.jpg
44,fear,25M_FE_C100.jpg,0,40,22M_FE_C040.jpg,m,left,27M_HA_C040.jpg
45,fear,27M_FE_C100.jpg,0,40,21M_HA_C040.jpg,m,right,28M_FE_C040.jpg
46,fear,26M_FE_C100.jpg,0,40,24M_FE_C040.jpg,m,left,22M_HA_C040.jpg
47,fear,28M_FE_C100.jpg,0,40,23M_FE_C040.jpg,m,left,26M_HA_C040.jpg
48,happiness,08F_HA_C100.jpg,0,40,07F_HA_C040.jpg,f,left,01F_FE_C040.jpg
49,happiness,04F_HA_C100.jpg,0,40,05F_FE_C040.jpg,f,right,08F_HA_C040.jpg
50,happiness,06F_HA_C100.jpg,0,40,04F_HA_C040.jpg,f,left,08F_FE_C040.jpg
51,happiness,01F_HA_C100.jpg,0,40,02F_HA_C040.jpg,f,left,04F_FE_C040.jpg
52,happiness,03F_HA_C100.jpg,0,40,01F_HA_C040.jpg,f,left,02F_FE_C040.jpg
53,happiness,05F_HA_C100.jpg,0,40,03F_FE_C040.jpg,f,right,06F_HA_C040.jpg
54,happiness,02F_HA_C100.jpg,0,40,07F_FE_C040.jpg,f,right,05F_HA_C040.jpg
55,happiness,07F_HA_C100.jpg,0,40,06F_FE_C040.jpg,f,right,03F_HA_C040.jpg
56,fear,01F_FE_C100.jpg,0,40,03F_FE_C040.jpg,f,left,08F_HA_C040.jpg
57,fear,07F_FE_C100.jpg,0,40,08F_FE_C040.jpg,f,left,06F_HA_C040.jpg
58,fear,04F_FE_C100.jpg,0,40,02F_HA_C040.jpg,f,right,05F_FE_C040.jpg
59,fear,02F_FE_C100.jpg,0,40,07F_FE_C040.jpg,f,left,03F_HA_C040.jpg
60,fear,06F_FE_C100.jpg,0,40,07F_HA_C040.jpg,f,right,01F_FE_C040.jpg
61,fear,03F_FE_C100.jpg,0,40,02F_FE_C040.jpg,f,left,04F_HA_C040.jpg
62,fear,08F_FE_C100.jpg,0,40,05F_HA_C040.jpg,f,right,06F_FE_C040.jpg
63,fear,05F_FE_C100.jpg,0,40,01F_HA_C040.jpg,f,right,04F_FE_C040.jpg
