,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,block,right face
0,happiness,27M_HA_C100.jpg,0,100,28M_HA_C100.jpg,m,left,0,26M_FE_C100.jpg
1,happiness,21M_HA_C100.jpg,0,100,23M_FE_C100.jpg,m,right,0,25M_HA_C100.jpg
2,happiness,22M_HA_C100.jpg,0,100,27M_FE_C100.jpg,m,right,0,24M_HA_C100.jpg
3,happiness,24M_HA_C100.jpg,0,100,22M_HA_C100.jpg,m,left,0,28M_FE_C100.jpg
4,happiness,23M_HA_C100.jpg,0,100,26M_HA_C100.jpg,m,left,1,25M_FE_C100.jpg
5,happiness,25M_HA_C100.jpg,0,100,21M_HA_C100.jpg,m,left,1,22M_FE_C100.jpg
6,happiness,26M_HA_C100.jpg,0,100,24M_FE_C100.jpg,m,right,1,23M_HA_C100.jpg
7,happiness,28M_HA_C100.jpg,0,100,21M_FE_C100.jpg,m,right,1,27M_HA_C100.jpg
8,fear,22M_FE_C100.jpg,0,100,24M_HA_C100.jpg,m,right,2,25M_FE_C100.jpg
9,fear,23M_FE_C100.jpg,0,100,28M_FE_C100.jpg,m,left,2,22M_HA_C100.jpg
10,fear,25M_FE_C100.jpg,0,100,21M_HA_C100.jpg,m,right,2,27M_FE_C100.jpg
11,fear,27M_FE_C100.jpg,0,100,23M_FE_C100.jpg,m,left,2,25M_HA_C100.jpg
12,fear,24M_FE_C100.jpg,0,100,22M_FE_C100.jpg,m,left,3,26M_HA_C100.jpg
13,fear,26M_FE_C100.jpg,0,100,23M_HA_C100.jpg,m,right,3,24M_FE_C100.jpg
14,fear,28M_FE_C100.jpg,0,100,21M_FE_C100.jpg,m,left,3,27M_HA_C100.jpg
15,fear,21M_FE_C100.jpg,0,100,28M_HA_C100.jpg,m,right,3,26M_FE_C100.jpg
16,happiness,05F_HA_C100.jpg,0,100,06F_FE_C100.jpg,f,right,4,03F_HA_C100.jpg
17,happiness,04F_HA_C100.jpg,0,100,07F_FE_C100.jpg,f,right,4,05F_HA_C100.jpg
18,happiness,03F_HA_C100.jpg,0,100,08F_FE_C100.jpg,f,right,4,01F_HA_C100.jpg
19,happiness,06F_HA_C100.jpg,0,100,02F_HA_C100.jpg,f,left,4,03F_FE_C100.jpg
20,happiness,08F_HA_C100.jpg,0,100,05F_FE_C100.jpg,f,right,5,06F_HA_C100.jpg
21,happiness,07F_HA_C100.jpg,0,100,08F_HA_C100.jpg,f,left,5,01F_FE_C100.jpg
22,happiness,02F_HA_C100.jpg,0,100,07F_HA_C100.jpg,f,left,5,04F_FE_C100.jpg
23,happiness,01F_HA_C100.jpg,0,100,04F_HA_C100.jpg,f,left,5,02F_FE_C100.jpg
24,fear,04F_FE_C100.jpg,0,100,01F_HA_C100.jpg,f,right,6,07F_FE_C100.jpg
25,fear,05F_FE_C100.jpg,0,100,02F_FE_C100.jpg,f,left,6,06F_HA_C100.jpg
26,fear,07F_FE_C100.jpg,0,100,03F_FE_C100.jpg,f,left,6,04F_HA_C100.jpg
27,fear,01F_FE_C100.jpg,0,100,02F_HA_C100.jpg,f,right,6,04F_FE_C100.jpg
28,fear,06F_FE_C100.jpg,0,100,05F_FE_C100.jpg,f,left,7,03F_HA_C100.jpg
29,fear,02F_FE_C100.jpg,0,100,08F_FE_C100.jpg,f,left,7,05F_HA_C100.jpg
30,fear,03F_FE_C100.jpg,0,100,08F_HA_C100.jpg,f,right,7,06F_FE_C100.jpg
31,fear,08F_FE_C100.jpg,0,100,07F_HA_C100.jpg,f,right,7,01F_FE_C100.jpg
32,happiness,27M_HA_C100.jpg,0,40,21M_FE_C040.jpg,m,right,8,23M_HA_C040.jpg
